Language,Promedio_Stars,Num_Repos
TypeScript,33649.0,13
Rust,33540.0,23
C++,26063.0,20
JavaScript,25208.0,14
Go,23699.0,19
Python,17229.0,12
PHP,16505.0,24
C,14217.0,19
Ruby,13784.0,22
Swift,9463.0,22
